id,hhb,hbo2,ca,na
10000,8.35569191,4.176173687,9.338370323,3.310400963
10001,8.009233475,4.032506943,9.52430439,3.147449493
10002,7.919115543,4.119699955,9.601726532,3.095258713
10003,8.330953598,4.020860195,9.53217411,2.962912083
10004,7.831114292,4.142705441,9.554136276,3.239479542
10005,7.581818104,3.97241497,9.438397408,3.082785606
10006,7.710026264,4.263529778,9.728367805,3.284428596
10007,8.069454193,4.178206444,9.481170654,3.185833931
10008,8.15307045,4.243542194,9.590699196,3.263967037
10009,7.610760689,4.143218517,9.249908447,3.1841712
10010,8.623477936,4.169415474,8.904385567,3.124203682
10011,7.932941437,3.951927423,8.668031693,3.256516457
10012,7.78720665,4.252165794,9.41001606,3.166675568
10013,8.063404083,4.199923515,9.48026371,3.212406635
10014,7.885682583,4.106872559,9.104241371,3.209405899
10015,8.389722824,4.211266518,9.684010506,3.179819107
10016,8.099655151,4.102044582,8.57238102,3.089832783
10017,7.324575424,3.834273338,8.942465782,3.186821461
10018,7.630847454,4.004555702,9.202806473,2.992916107
10019,8.281322479,4.198611736,9.496088028,3.166548252
10020,8.075883865,4.240493298,9.776437759,3.202565193
10021,8.162836075,4.14947176,8.701601982,3.19800806
10022,7.941611767,4.223065853,9.910614014,3.14821434
10023,8.041145325,4.34133625,9.622157097,3.307305336
10024,8.036428452,4.213004589,9.815770149,3.133351326
10025,8.052333832,4.249722004,9.19658947,3.06682539
10026,8.432050705,4.104990482,8.655807495,3.225375175
10027,7.825428963,4.160124779,9.540985107,3.228379726
10028,7.811065197,4.232191563,9.578849792,3.157194138
10029,7.542810917,4.178585529,9.425170898,3.061840057
10030,8.395381927,4.321150303,9.748598099,3.355126381
10031,8.03109169,4.178505421,9.38139534,3.184615612
10032,8.214300156,4.074479103,9.160873413,3.195589542
10033,7.621688366,4.25883913,9.582373619,3.199062347
10034,7.625241756,4.191086292,9.734044075,3.08173418
10035,7.893106937,4.116578579,10.01015186,3.154570103
10036,8.437833786,4.149130344,8.901638985,3.292825222
10037,8.122518539,4.180580616,9.286906242,3.097701073
10038,8.083772659,4.175543785,9.375307083,3.143039703
10039,8.247463226,4.268630028,9.624112129,3.346262455
10040,8.305500031,4.206782818,9.393269539,3.318090439
10041,8.142166138,4.16285181,9.21614933,3.106018066
10042,7.677158833,4.156945705,9.332730293,3.209800243
10043,7.986059189,3.994137526,8.643819809,3.237470627
10044,7.943384171,4.175070763,9.510991096,3.160566807
10045,7.599878788,3.810961485,9.899991035,3.244624138
10046,7.93940115,4.154159546,9.545352936,3.188288212
10047,7.249524593,4.044068336,9.220509529,3.03792429
10048,8.170571327,4.084026814,9.485672951,3.159532547
10049,7.458418846,4.174951553,9.63674736,3.277145863
10050,8.07527256,4.264752388,9.701388359,3.142775059
10051,7.906850815,4.130550385,9.3036623,3.125844002
10052,7.853631496,4.259150982,9.477458,3.244213581
10053,8.210419655,4.171528339,10.20124531,3.138356686
10054,8.047058105,4.201860428,9.554918289,3.147540092
10055,7.80355978,4.196731567,9.464356422,3.10445118
