id,hhb,hbo2,ca,na
10000,8.146207809,3.937404871,8.949150085,2.946106672
10001,8.024465561,3.923513174,8.87775135,2.874887466
10002,7.753180981,3.904123545,8.951910019,2.827885389
10003,8.087147713,3.889098883,8.811239243,2.760845184
10004,7.795650959,4.002187729,9.234107018,2.991532326
10005,7.898632526,3.882837057,8.824999809,2.753869295
10006,7.674686432,3.985366821,8.900777817,2.874907017
10007,8.069844246,4.025571346,8.88949585,2.900961161
10008,7.961220264,3.957617283,8.802772522,2.896395922
10009,7.78126812,4.069684505,8.833641052,2.90324378
10010,8.38131237,3.859002352,8.755433083,2.857527733
10011,7.799250603,3.907511473,9.021450043,2.849421024
10012,7.868936539,4.139917374,8.986862183,2.822322607
10013,7.856804371,3.914467573,8.687858582,2.85255456
10014,8.149198532,4.236155033,9.06509304,2.88659215
10015,7.97963953,3.945720434,8.884367943,2.868157148
10016,8.113218307,3.941343784,8.708130836,2.74874711
10017,7.621473312,3.895134211,9.250938416,2.844902277
10018,7.621240139,3.845126867,8.494935036,2.791600943
10019,7.893948078,3.917018175,8.654825211,2.785957575
10020,7.926329136,4.053966522,9.09500885,2.959119081
10021,7.852550983,3.95848608,8.87227726,2.780507326
10022,7.824270725,3.921516418,8.991943359,2.830124855
10023,7.939554691,4.038528442,8.914565086,2.977231264
10024,7.812782764,4.008860588,8.941543579,2.90904355
10025,7.854701996,4.019612312,8.706334114,2.839937687
10026,8.074625015,4.039789677,8.789552689,2.812940359
10027,7.733475208,3.926791906,8.974010468,2.940816641
10028,7.669231892,4.117191792,8.944085121,2.850180626
10029,7.485014915,3.869906187,8.979492188,2.755566597
10030,8.205629349,4.028627396,8.967630386,2.949532747
10031,7.905575752,3.915728331,8.729187012,2.867578983
10032,7.929443836,3.871275902,8.798092842,2.867990732
10033,7.638452053,4.046071529,8.975921631,2.80856204
10034,7.548353672,3.958749771,8.802407265,2.69977355
10035,7.918214321,3.894242525,9.093095779,2.827324152
10036,8.295259476,3.98047328,9.01948452,2.930663347
10037,7.882677078,3.998721838,8.652389526,2.760422468
10038,7.890882492,3.903949499,8.729401588,2.822764158
10039,8.246635437,4.046066284,9.053777695,3.008292437
10040,7.85187006,3.908735752,8.670469284,2.918756723
10041,7.979374409,3.976800203,8.908273697,2.777050257
10042,7.636013508,4.001710892,8.942822456,2.881934881
10043,7.793716431,3.904374123,8.936361313,2.82651639
10044,7.875392437,3.967415094,8.826645851,2.906396627
10045,7.563185215,3.698577166,8.959264755,2.892985106
10046,7.897857189,3.962169409,8.848465919,2.909406424
10047,7.305601597,3.879950762,8.975395203,2.797036886
10048,8.035258293,3.94976449,8.947504044,2.881238699
10049,7.652087688,3.941485882,9.216142654,2.873728991
10050,7.78524065,3.991594553,8.832642555,2.765752077
10051,7.830015659,3.948220968,8.711093903,2.835323095
10052,7.89847517,4.057056904,8.940702438,2.999676466
10053,8.169221878,4.055066586,9.485624313,2.887187719
10054,7.949258327,3.988807917,8.848992348,2.909542084
10055,7.550144672,3.99311614,8.789370537,2.706590891
10056,7.797177792,3.986231565,8.817876816,2.850458384
10057,7.889710426,3.967780352,9.051924706,2.847320318
10058,7.847196102,4.081801891,9.022234917,2.888990164
10059,7.319087505,3.865516424,8.916501999,2.746052504
10060,7.916535378,3.923707485,8.77841568,2.974049091
10061,7.795041561,3.969224691,8.829203606,2.83042407
10062,7.902037144,4.003957272,8.980374336,3.007385969
10063,7.756132126,4.044056416,8.919398308,2.888593674
10064,8.066390038,3.981779099,9.029443741,2.919597626
10065,7.938017368,3.949678659,8.901578903,2.877212048
10066,7.642426491,4.033965111,8.997684479,2.813050985
10067,7.870507717,3.870391369,8.691895485,2.8735044
10068,8.023154259,3.989848375,9.477268219,3.0613029
10069,8.354894638,4.094805717,8.997385025,2.832692146
10070,8.472341537,4.171181202,9.294822693,2.961143732
10071,7.742464542,3.917889833,8.69937706,2.89688611
10072,7.726317883,3.743823051,9.197076797,2.960963249
10073,7.249643326,3.943127871,8.648046494,2.690784693
10074,8.120145798,4.002343178,8.962137222,2.980496645
10075,7.588862896,4.055857658,9.018461227,2.78189683
10076,7.371953487,3.934751749,8.937932014,2.792953253
10077,7.93441534,4.030361176,8.998929977,2.917688131
10078,7.485122204,3.947813749,8.833102226,2.84016633
10079,7.955085278,4.008394241,9.175601006,2.875456572
10080,7.893579006,3.972462177,8.832181931,2.906847239
10081,8.063558578,4.075052261,8.992733002,2.881606579
10082,8.095457077,4.066363335,9.039810181,2.884116173
10083,7.952359676,3.927487612,8.926285744,2.888660908
10084,8.18447113,4.052423477,8.964647293,2.875921011
10085,8.10643959,4.089982033,9.288442612,2.86403966
10086,7.889513493,3.912395716,8.651618004,2.783364534
10087,8.148247719,4.012299538,9.33656311,2.904387236
10088,7.312576294,4.07707119,8.69460392,2.697667122
10089,7.950422764,3.909794569,9.034656525,2.81209445
10090,8.702608109,4.162191868,9.491586685,3.050834894
10091,7.664237976,3.922376394,9.179648399,2.847373247
10092,7.542271614,3.992681265,8.994861603,2.834785938
10093,7.598618031,3.943273067,8.776340485,2.668117762
10094,7.68313694,3.851619482,8.672939301,2.796043634
10095,7.714883327,3.93410182,9.019004822,2.928203821
10096,7.964898586,3.94873929,8.78387928,2.826347589
10097,7.932582378,3.927170992,8.745757103,2.893269062
10098,8.080426216,4.118451595,9.043408394,2.93053174
10099,7.833069324,4.040235043,8.85765934,2.907620668
10100,7.856220722,3.904042006,8.722795486,2.94917655
10101,7.779175282,3.858327627,8.694730759,2.8411026
10102,7.808082104,3.8121984,8.422379494,2.692841768
10103,7.754468441,4.103500843,8.858426094,2.913314104
10104,7.606215,3.841645956,8.838603973,2.766795397
10105,8.203852654,4.030603409,9.133151054,2.859691143
10106,7.935473919,3.887323856,9.501247406,2.958513975
10107,8.201132774,4.071575165,9.080533981,2.977276087
10108,7.774088383,3.992408037,8.943842888,2.880958796
10109,8.010717392,3.89563179,8.733941078,2.958788157
